URL;Tags
https://www.bensound.com/royalty-free-music/track/acoustic-breeze;['nature', 'simple', 'light', 'happy', 'dreamy', 'dream', 'optimistic', 'inspirational', 'hopeful', 'positive', 'cheerful', 'bright', 'sun', 'summer', 'warm', 'sweet', 'soft', 'romantic', 'slideshow', 'photo', 'album', 'wedding', 'sentimental', 'peaceful', 'gentle', 'cello', 'guitar', 'folk', 'acoustic']
https://www.bensound.com/royalty-free-music/track/actionable;['rock', 'action', 'aggressive', 'violent', 'tough', 'strong', 'sport', 'extreme', 'rough', 'power', 'powerful', 'overdrive', 'intense', 'hard', 'electric', 'guitar', 'distortion', 'saturated', 'angry', 'violence']
https://www.bensound.com/royalty-free-music/track/a-day-to-remember-wedding-music;['acoustic', 'gentle', 'mellow', 'sweet', 'calm', 'guitar', 'folk', 'wedding', 'romantic', 'love', 'sentimental', 'photos', 'soulful', 'strings', 'piano', 'emotional', 'soft', 'elegant', 'moving', 'video', 'slideshow', 'touching', 'couple', 'simple', 'warm']
https://www.bensound.com/royalty-free-music/track/adventure;['travel', 'nature', 'discovery', 'film', 'adventure', 'movie', 'journey', 'bright', 'optimistic', 'orchestral', 'orchestra', 'documentary', 'emotional', 'dreamy', 'light', 'summer', 'gentle', 'cinematic', 'sentimental', 'inspiring', 'strings', 'timpani', 'marimba']
https://www.bensound.com/royalty-free-music/track/all-that-chill-hop;['hip', 'hop', 'chill', 'jazz', 'lounge', 'samples', 'groove', 'groovy', 'urban', 'sax', 'saxophone', 'piano', 'old', 'laid back', 'beat', 'modern', 'street', 'background', 'youtube', 'royalty-free', 'chillout', 'chill out', 'positive', 'catchy', 'advertising', 'commercial']
https://www.bensound.com/royalty-free-music/track/a-new-beginning;['rock', 'uplifting', 'success', 'positive', 'hope', 'hopeful', 'optimistic', 'motivation', 'invincible', 'corporate', 'electric', 'guitar', 'epic', 'energy', 'energetic', 'emotional', 'confidence', 'business', 'piano']
https://www.bensound.com/royalty-free-music/track/badass;['funky', 'action', 'groove', 'suspense', 'groovy', 'funky', 'sport', 'cop', 'cops', 'retro', 'opening', 'movie', 'film', 'cinematic', 'bongoes', 'guitar']
https://www.bensound.com/royalty-free-music/track/better-days;['calm', 'ambient', 'electric guitar', 'landscape', 'ocean', 'dramatic', 'nature', 'spiritual', 'travel', 'meditation', 'sad', 'slow', 'soundtrack', 'pad', 'melancholic']
https://www.bensound.com/royalty-free-music/track/beyond-the-line;['rock', 'guitar', 'power', 'epic', 'powerful', 'emotion', 'inspiration', 'positive', 'hope', 'success', 'presentation', 'pop', 'indie', 'motivation', 'corporate']
https://www.bensound.com/royalty-free-music/track/birth-of-a-hero;['action', 'adventure', 'epic', 'hollywood', 'soundtrack', 'battle', 'war', 'choir', 'intense', 'intensity', 'trailer', 'dramatic', 'opening', 'courage', 'hero', 'heroic', 'cinematic', 'movie', 'game']
